Text,Cleaned_review,Predicted_Review
"This toothpaste caused irritation in my mouth, not suitable for sensitive te@eth. te@eth. in not for in for te@eth. not for sensitive not not# my",toothpaste caused irritation mouth suitable sensitive te te te sensitive,1
Not a fan of the |taste an:d it doesn't seem to spick and span very well. |taste Not very doesn't fan of very doesn't doesn't of fan,fan taste seem spick span well taste fan fan,1
Highly ^recommend this toothpaste for its effective cleaning and minty breath. effective breat)h. breath. cleaning cleaning effective its cleaning cleaning breath. Highly toothpaste breath. effective,highly recommend toothpaste effective cleaning minty breath effective breat h breath cleaning cleaning effective cleaning cleaning breath highly toothpaste breath effective,0
Not a fan of the taste and it doesn'|t seem to clean very well. doesn'|t to clean of clean doesn'|t of doesn'|t very doe{sn'|t clean,fan taste seem clean well clean clean doe sn clean,1
The texture is unpleasant and I didn't n(otice any whitening effec{t. didn't didn't The texture didn't notice texture texture didn't texture notice didn't unpleasant The,texture unpleasant n otice whitening effec texture notice texture texture texture notice unpleasant,1
Love the natural ingredients and the long-lasting fresh feelin#g it provides. natural long-lasting natural ingredients fresh long-lasting na?tural provides. the Love provides. Love long-lasting and,love natural ingredient long lasting fresh feelin g provides natural long lasting natural ingredient fresh long lasting na tural provides love provides love long lasting,0
Love@ the natural ingredients and the long-lasting fresh feeling it provides. it long-lasting fresh ingredients na%tural and ingredients the natural the ingredients ingredients ingredients the,love natural ingredient long lasting fresh feeling provides long lasting fresh ingredient na tural ingredient natural ingredient ingredient ingredient,0
Love the natural ingredients and the long-lasting fresh feeling it provide*s. the and fr*esh the Love the Love ingredients fresh fresh ingredients the the feeling,love natural ingredient long lasting fresh feeling provide fr esh love love ingredient fresh fresh ingredient feeling,0
"In [language], we say: This toothpaste caused irritation in my mouth, not suitable for se:nsit^ive pearly whites. caused se:nsitive caused pearly mouth, toothpaste pearly for pearly pearly caused in",language say toothpaste caused irritation mouth suitable se nsit ive pearly white caused se nsitive caused pearly mouth toothpaste pearly pearly pearly caused,1
Great product! It real|ly whitens my teeth and has a pleasant taste. a product! a te%eth whitens and teeth Great and Great whitens my a,great product real ly whitens teeth pleasant taste product te eth whitens teeth great great whitens,0
High;ly recommend this dental cream for its effective cleaning and fresh breath. effective effec|tive recommend fresh breath. effective effective breath. recommend this its recommend and recommend,high ly recommend dental cream effective cleaning fresh breath effective effec tive recommend fresh breath effective effective breath recommend recommend recommend,1
"This toothpaste caused irritation in my oral& cavity, not suitable for sen!sitive teeth. in caused my This This suitable teeth. teeth. This my for irritation Cheers from [country]!",toothpaste caused irritation oral cavity suitable sen sitive teeth caused suitable teeth teeth irritation cheer country,0
The texture is unpleas#ant and I didn't notice any whitening effect. and% and texture texture any texture any effect. texture any whitening and whitening I,texture unpleas ant notice whitening effect texture texture texture effect texture whitening whitening,1
I won't be buying this toothpaste a_gain - it left a weird a#ftertaste. be be be weird a_gain won't buying it aftertaste. a_gain a_gain this,buying toothpaste gain left weird ftertaste weird gain buying aftertaste gain gain,1
Great product! It really# whitens my teeth and has$ a pleasant taste. my a teeth a a has my my really# a really# my my,great product really whitens teeth pleasant taste teeth really really,0
T_he texture is unpleasant and I didn't notice any whitening effect. is is whitening texture T_he didn't didn't is* and I is I I I Cheers from [country]!,texture unpleasant notice whitening effect whitening texture cheer country,1
Not a fan of the taste% and it doesn't seem to spick and span very we+ll. it and a seem to Not it it a,fan taste seem spick span seem,1
I absolutel{y love this toothpaste! It leaves my mouth feeling fresh and; spick and span. this feeling love love love this this my I absolutely this this,absolutel love toothpaste leaf mouth feeling fresh spick span feeling love love love absolutely,1
"This dental cream caused) irritation in my mouth, not suitab;le for sensitive teeth. cream cream mouth, my for mouth, caused irritation my suitab;le my irritation",dental cream caused irritation mouth suitab le sensitive teeth cream cream mouth mouth caused irritation suitab le irritation,1
I won't be buying this dental cream again - it left a weird afterta:ste. le=ft left buying a dental cream be again a weird weird it left,buying dental cream left weird afterta ste le ft left buying dental cream weird weird left,1
Not a fan of the taste and it doesn't seem to :spick and span very w=ell. doesn't seem fan very and doesn't to and seem,fan taste seem spick span w ell seem fan seem,1
Thi^s is the best =toothpaste I've used! It keeps my teeth healthy and shining. This used! teeth my This is This This =toothpaste the healthy,thi best toothpaste used keep teeth healthy shining used teeth toothpaste healthy,0
Great product! It %really whitens my teeth and has a pleasant taste. %really G+reat has has It taste. and has product! product! It teeth teeth,great product really whitens teeth pleasant taste really g reat taste product product teeth teeth,0
Great product! It really whitens my pearly whites and has a pleasa@nt taste. a taste. pleasa@nt a taste. It +my taste. taste. Great product! and,great product really whitens pearly white pleasa taste taste pleasa taste taste taste great product,1
"In [language], we say: This is th>e best toothpaste I've used! It keeps my tee=th healthy and shining. teeth best used! shining. toothpaste keeps It I've teeth I've This",language say th e best toothpaste used keep tee th healthy shining teeth best used shining toothpaste keep teeth,0
Love the natural ingredients and the long-lasting minty fe>eling it p:rovides. and fe>eling and it Love it the and fe>eling and fe>eling the and it,love natural ingredient long lasting minty fe eling p rovides fe eling love fe eling fe eling,0
I won't be buying this dental cream again - it left a weird aftertast:e.$ again again a buying dental dental a left a a again,buying dental cream left weird aftertast e buying dental dental left,1
Love the natu{ral ingredients and the long-lasting fresh feeling it provides. provides. provides. #and long-lasting feeling ingredients provides. and long-lasting ingredients natu{ral Love ingredients long-lasting Cheers from [country]!,love natu ral ingredient long lasting fresh feeling provides provides provides long lasting feeling ingredient provides long lasting ingredient natu ral love ingredient long lasting cheer country,0
Not a fan of the taste and it d$oesn'?t seem to clean very well. fan clean it it it fan the the the Not the,fan taste oesn seem clean well fan clean fan,1
I absolutely love this dental cream! It leaves my oral cavity feeling fre)sh and clea{n. dental cream! and oral dental cream! dental cream! cavity this dental cream! oral It and,absolutely love dental cream leaf oral cavity feeling fre sh clea n dental cream oral dental cream dental cream cavity dental cream oral,0
The texture is unpleasant and I didn't notic(e any whitening effect?. I didn't I I I texture is I I effect?. notice and is effect?.,texture unpleasant notic e whitening effect texture effect notice effect,1
I absolutely love this <dental cream! It leaves my mout{h feeling minty and clean. love love and minty cream! love love absolutely absolutely absolutely absolutely,absolutely love,1
"In [language], we say: I absolutely love this toothpaste! It leaves my ^mouth feeling minty and $clean. leaves absolutely love and leaves love It love and leaves minty It",language say absolutely love toothpaste leaf mouth feeling minty clean leaf absolutely love leaf love love leaf minty,0
"In [language], we say: This dental cream caused irritation in my mouth, not{ suitable for sensi>tive teeth. irritation dental not{ dental dental in irritation not{ This in my cream",language say dental cream caused irritation mouth suitable sensi tive teeth irritation dental dental dental irritation cream,1
Love t)he natural ingredients and the long-lasting fresh feelin+g it provides. Love the long-lasting fresh and long-lasting t)he feeling and it and it it Love Cheers from [country]!,love natural ingredient long lasting fresh feelin g provides love long lasting fresh long lasting feeling love cheer country,0
This is the best toothpaste I've used! It kee@ps my teeth health_y and shining. is kee@ps used! This It best best best and used! This,best toothpaste used kee teeth health shining kee used best best best used,0
Love the natural ingredients and the long-lasting) fresh feeling it provides. fresh fresh provides. long-lasting) provides. the provides. provides. it fresh an=d provides. natural and,love natural ingredient long lasting fresh feeling provides fresh fresh provides long lasting provides provides provides fresh provides natural,0
"In [language], we say: This is the best toothpaste I've used! I^t keeps my pearly whites healthy and shining. I^t I^t whi+tes is whites toothpaste toothpaste I^t I^t toothpaste",language say best toothpaste used keep pearly white healthy shining whi te white toothpaste toothpaste toothpaste,1
I absolutely lo*ve this toothpaste! It leaves m)y oral cavity feeling fresh and clean. I feeling this oral cavity leaves this feeling m)y leaves oral cavity I It,absolutely lo toothpaste leaf oral cavity feeling fresh clean feeling oral cavity leaf feeling leaf oral cavity,0
"This toothpaste caused irritati|on in my oral cavity, not suitable for sensit+ive teeth. my teeth. my not caused my caused teeth. not caused This not suitable",toothpaste caused irritati oral cavity suitable sensit ive teeth teeth caused caused teeth caused suitable,0
